,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9
ENSMUSG00000116038,0,0,0,0,1,0,0,1,0,0
ENSMUSG00000116039,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116040,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116041,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116044,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116048,1114.260773,1296.234893,1308.340689,1188.671789,1458.85457,1228.431116,1310.647428,989.1153067,1330.361511,1119.098124
ENSMUSG00000116056,1.054088824,10,7,4,8.293757003,7.646720663,11,6,6,3.148987422
ENSMUSG00000116057,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116058,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116061,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116066,2,36,9,42,39,15,45,30,42,34
ENSMUSG00000116068,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116069,21.98744358,0.026408339,11.59176135,0,8.77481673,0,0,0,1.48E-08,7.947495196
ENSMUSG00000116071,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116072,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116074,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116075,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116079,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000116083,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116088,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116089,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116090,0,0,0,0,0,0,3.471549884,0,0,0
ENSMUSG00000116091,0,0,1,0,0,1,0,0,0,0
ENSMUSG00000116092,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116093,0,0,14.53259042,0,0,0,0,0,0,0
ENSMUSG00000116095,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116096,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116097,17,33,33,40,62,59,40,30,36,44
ENSMUSG00000116102,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000116104,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116107,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116109,0,1,0,0,0,0,0,1,0,0
ENSMUSG00000116113,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116114,8,14,1,4,12,11,11,2,6,9
ENSMUSG00000116116,2,19,9,7,5,2,5,5,7,5
ENSMUSG00000116117,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116118,0,0,0,0,0.116709179,0,0,0,0,0
ENSMUSG00000116120,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000116121,13.13638897,10.82350851,1.902280711,23.05201127,40.9203802,21.19121797,5.846471671,11.46949649,9.063453311,15.85632511
ENSMUSG00000116122,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000116123,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116124,1.000804839,3.861270086,0,1.796757515,1.006975255,0,1.000429074,1.000577403,1.419379824,0
ENSMUSG00000116125,0,2,0,0,0,0,0,0,1,1
ENSMUSG00000116127,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116129,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116130,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116131,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000116132,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116136,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116138,117,186,192,181,231,206,180,135,156,99
ENSMUSG00000116140,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116149,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116151,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116155,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116157,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116158,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116160,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000116162,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116164,5,10,5,12,13,16,15,11,10,11
ENSMUSG00000116165,33.04280016,125.9901873,23.44627528,101,115.6909903,96,74,78,80.99999999,45.23774739
ENSMUSG00000116166,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116167,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116168,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000116170,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116171,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116173,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116174,1.141540491,0,0,1.171098724,1.154696014,0,0,1.171624471,0,0
ENSMUSG00000116178,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116179,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116180,16.98853968,90.4553368,33.09439504,61.0851809,126.3636102,68.6633632,76.12316468,85.36257524,85.60386549,65.08727427
ENSMUSG00000116182,0,1.011754885,0,0,0,0,0,0,0,0
ENSMUSG00000116183,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116184,0,0,0,0,0,0,0,0,0,5.411871369
ENSMUSG00000116187,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116188,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116190,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000116191,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116192,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116194,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116197,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116202,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116204,1.000144896,2.73749373,0,0,0,0,0,0,0,0
ENSMUSG00000116207,555.7978496,843.0421317,840.5393121,733.8863636,1000.431463,913.8111466,881.6544105,761.8367693,952.2777508,740.489706
ENSMUSG00000116210,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116212,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116213,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116215,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116217,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116219,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116220,10.00029737,2.000019258,4.000124087,0,1.00004018,3,0,1.000096941,2.605950597,2.000034176
ENSMUSG00000116222,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116223,0,2.67190537,1.200371873,2,2.427582427,0,1.927126806,2.000290579,0,0
ENSMUSG00000116227,0,0,0,0,0,0,0,3.238359793,0,0
ENSMUSG00000116229,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116231,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116234,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116237,1.003787549,0,6.008552476,2.007223074,0,0,2.009215864,0,1.005582142,1.00682551
ENSMUSG00000116239,0,1,0,2,0,0,0,2,0,0
ENSMUSG00000116241,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116242,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116244,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116245,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116249,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000116250,1,0,1,1,0,1,1,2,0,2
ENSMUSG00000116253,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116255,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116256,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116260,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116262,4,4,7,4,3,8,6,6,2,4
ENSMUSG00000116263,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116265,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116270,3.02195759,0,0,1.451110621,2.067314,2.000096349,0,1.28934055,0,6.002180242
ENSMUSG00000116272,1,0,0,0,1,0,0,0,0,1
ENSMUSG00000116274,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116275,370.1973971,540.5135514,233.4840269,244.7792083,435.1676482,687.7601133,417.8974112,251.2131842,551.745658,455.214997
ENSMUSG00000116280,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000116284,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116287,2,70,11,49,57,89,62,57,67,48
ENSMUSG00000116288,2,17,2,15,19,16,23,18,16,6
ENSMUSG00000116289,1,0,2,0,0,0,0,0,0,1
ENSMUSG00000116290,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116291,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116292,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116294,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116295,0,1.115712821,1.359821742,0,0,0,0,0,0,0
ENSMUSG00000116296,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116297,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116299,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116300,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000116301,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116303,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116304,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116305,1,6,4,8,6,1,7,5,6,2
ENSMUSG00000116307,0,0,0,0,0,1,1,2,1,0
ENSMUSG00000116308,1,0,0,0,0,0,0,0,0,1
ENSMUSG00000116309,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116311,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116314,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000116317,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116323,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116324,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116325,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116331,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116335,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116336,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116338,11,1,20,5,6,3,1,0,0,4
ENSMUSG00000116339,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116341,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000116343,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116345,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116347,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116348,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116350,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116352,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116353,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116354,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116355,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116356,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116358,230.349884,342.2700184,217.9965798,256.9678376,359.7745523,202.1014162,221.943888,131.9299043,165.9230197,260.7223687
ENSMUSG00000116360,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116365,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116366,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116367,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116368,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116371,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000116376,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116378,75.13690082,210.2345513,225.0792553,154.7904306,326.1652129,157.5830679,61.17378206,169.7925222,309.8757499,299.8007923
ENSMUSG00000116380,9,4,2,7.01109379,3,8.015425018,4,4.011630259,3,3.000787346
ENSMUSG00000116383,40.40685541,0,58.54485565,2,1.014705447,2.010458438,1,0,0,0
ENSMUSG00000116385,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116386,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116388,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116389,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116396,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000116398,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116400,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000116402,0,0,0,0,1,0,2,0,0,0
ENSMUSG00000116403,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116404,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116406,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000116409,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000116412,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116414,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116416,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116419,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116423,0,0,2.060721123,0,0,0,0,0,0,0
ENSMUSG00000116424,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116426,0,0,0,0,0,0.823069448,0.13493746,0,0,0
ENSMUSG00000116428,0,0,1,0,0,0,2,0,0.714090558,1
ENSMUSG00000116429,0,1.631253768,0,0,0,0,0,0,0,0
ENSMUSG00000116435,1,1,0,0,0,0,0,0,0,0
ENSMUSG00000116437,0,0,0,0,1,0,0,2,0,0
ENSMUSG00000116438,1.001123458,0,1,0,0,0,0,0,0,1.001405008
ENSMUSG00000116439,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116442,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116445,0,0,0,0,3,0,0,0,0,0
ENSMUSG00000116449,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116450,1.058700338,6.013666887,1.131975617,8.01639545,2.01218249,1.351812259,5.213979058,4,2.007778414,3.424340155
ENSMUSG00000116455,2,2,3,5,3,1,2,1,2,1
ENSMUSG00000116461,28.08079394,0,0,0,0,0,0,0,2.224098838,0
ENSMUSG00000116464,0,0,0,1,0,1,0,0,0,0
ENSMUSG00000116467,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116469,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000116472,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116475,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116478,0,6,4,3,2,3,1,2,3,3
ENSMUSG00000116480,0,0,0,0,2,1,0,1,0,2
ENSMUSG00000116481,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116482,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116483,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000116490,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116491,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116493,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116498,2,2,5,0,3,2.033159436,0,4,0,0
ENSMUSG00000116499,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116500,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116504,21,11.00479753,6,6,7,14,0,5.001615671,2,8
ENSMUSG00000116505,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116506,8,17,13,17,13,14,8,19,11,10
ENSMUSG00000116508,29,82,55,68,89,80,69,63,79,63
ENSMUSG00000116514,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116516,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116518,9.262443416,19.40613745,10.74125228,17.13041842,23.02148373,21.95954126,17.09054803,17.9927696,21.81170243,11.33962464
ENSMUSG00000116519,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116520,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116521,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116525,1.033353156,0,0,1.007157854,0,0,0,0,1.007684457,0
ENSMUSG00000116528,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000116529,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116530,1,0,0,0,0,0,0,0,1,1
ENSMUSG00000116531,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116532,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116533,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116535,0,0,1.000279567,0,0,0,0,0,0,0
ENSMUSG00000116536,2.004266335,0,0,0,0,0,0,0,0,0
ENSMUSG00000116537,0,2,1,1,1,4,0,0,0,1
ENSMUSG00000116538,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116540,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116542,39,0,137,16,1,8,2,0,0,0
ENSMUSG00000116543,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116544,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116545,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116546,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116547,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116549,1,0,1,0,1,0,0,0,0,0
ENSMUSG00000116550,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116551,1,0,0,0,2,1,0,0,0,1
ENSMUSG00000116552,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116553,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116554,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116555,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000116556,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116557,1,8,2,5,6,1,10,9,7.591621196,3
ENSMUSG00000116558,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116559,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116560,13.87425,0,27.52700609,16.12268144,81.13532979,3.895543011,2.750220539,0,0,10.79437511
ENSMUSG00000116561,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116562,0,0,1.012030084,0,0,0,0,0,0,0
ENSMUSG00000116563,1.461137961,0,0,0,0,0,0,2.01E-08,0,0.63618456
ENSMUSG00000116564,172,211.1434144,239.0134054,190,224.1985632,168.2143405,151,123,153.0020396,150
ENSMUSG00000116565,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116566,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116567,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116569,0,0,0,0,0,1,1.038495555,0,0,0
ENSMUSG00000116570,2,2,0,0,0,0,0,0,0,2
ENSMUSG00000116571,0,1,4,4,7,9,8,5,3,0
ENSMUSG00000116572,0,1,2,0,2,0,1,0,0,0
ENSMUSG00000116573,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116574,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116575,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116576,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116578,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116579,3.379021302,9.589379336,0,5.776850156,5.738746921,8.286457567,8.196097968,4.459939686,10.49822915,9.222492019
ENSMUSG00000116580,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116581,12.00090696,25.00606357,4.002462656,19.00498165,23.01029994,21.10013081,11.05985255,15.00756135,17.00224932,7.001944644
ENSMUSG00000116582,2.075917685,3.002530796,11.05243278,4.399394494,5.641759342,3.307078765,9.432690085,2.850794464,1.103543862,1.10359642
ENSMUSG00000116583,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116585,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116586,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116587,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116588,0,0,0,1.007922953,0,1,0,1,0,1.012980513
ENSMUSG00000116589,0,0,0,1,0,0,0,0,0,2
ENSMUSG00000116590,0,1.021050137,0,2.000980356,2.046149874,0,1.000157963,2.037737344,0,1.004922267
ENSMUSG00000116591,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116592,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116593,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116594,61.49359933,57.27201067,95.27773171,61.08178737,33.00171117,15.51717685,16.53887604,50.41969805,17.82903927,17.22659014
ENSMUSG00000116595,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116596,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116597,1.613469354,1.046871759,1.001008387,0,0,0,0,0,0,0
ENSMUSG00000116598,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116599,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116600,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116603,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116604,6,8.822830693,7.076412046,6,10.08946851,6,7.061306156,8.702311993,9.968561471,11.7483399
ENSMUSG00000116605,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116606,2.089172647,3,7,2.154177396,0,0,2,2,5.084716712,1.03231849
ENSMUSG00000116607,0,1,0,1,1,2,0,0,3,0
ENSMUSG00000116608,2.001971673,0,0,0,1.000238558,1.003714943,1.004010515,0,0,0
ENSMUSG00000116609,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116610,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116611,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116612,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116614,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116615,1,0,0,0,1,0,0,0,0,0
ENSMUSG00000116616,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000116617,2.220128016,1.076735338,1.008630803,3.267868622,7.591271578,3.814144076,5.21421218,3.043015208,0,1.02222265
ENSMUSG00000116618,0,2.930535179,7.052846872,3.717163501,3.628299156,1.945450985,6.126318492,2.198719687,8.853665489,0
ENSMUSG00000116619,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116620,0,1.016984092,0,0,0,0,0,0,0,1.01531936
ENSMUSG00000116621,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116622,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116623,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116625,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116627,1,0,1.021503021,0,2.590012842,1.015897918,0,0,0,1
ENSMUSG00000116628,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116629,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116630,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116631,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116632,48.00353063,91.98438222,37.00265036,99.00563033,101.0097212,90.01029947,97.00807379,81.00633415,102.5117514,61.00250919
ENSMUSG00000116633,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116634,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000116635,0,0,0,0,1,0,1,0,1,0
ENSMUSG00000116636,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116637,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116638,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116640,0,0,0,0,0,0,0,0,0,1.424134204
ENSMUSG00000116641,0,2,0,1,0,1,0,0,1,1
ENSMUSG00000116642,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116643,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116644,2,0,0,0,0.415948999,1,0,1,0,2.07031929
ENSMUSG00000116645,0,2,0,0,0,0,0,1,1,0
ENSMUSG00000116646,0,0,0,1,1,0,1,0,0,3
ENSMUSG00000116647,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116648,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116649,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116650,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116651,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116652,31,355,102,340,591,496,402,303,325,275
ENSMUSG00000116653,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116654,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116655,1,1,0,1.015252303,3,0,2,0,1,1
ENSMUSG00000116656,6.587324792,15.28738867,16.69601475,10.18977162,29.53118123,10.64469006,25.5232915,17.58179438,10.87385358,11.08381111
ENSMUSG00000116657,0,7.002181398,13.90704745,8.154388392,5.097623166,8.01576619,13.52946221,7.107811915,4.000505757,8.003976772
ENSMUSG00000116658,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000116659,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000116660,5,5,4,4,0,4,1,2,0,2
ENSMUSG00000116661,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116662,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116663,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116664,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116665,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116666,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116667,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116668,0,0,0,0,1.001852834,0,0,0,0,0
ENSMUSG00000116669,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116670,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116671,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116672,0,0,6.201880106,0,0,0,0.348979961,0,0,0
ENSMUSG00000116673,44.53875024,36.95040159,53.93265906,44.02620686,48.53187488,28.94630199,32.87516515,19.3792547,34.95286703,22.72883484
ENSMUSG00000116674,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116675,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116676,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116678,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116679,0,0,0,0,0,0,7.230049446,0,0,0
ENSMUSG00000116680,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116681,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116684,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116685,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116686,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116687,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116688,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116689,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116690,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000116691,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116692,4.050097756,1,13.15270175,2.367603345,0,0,2.26250742,2,0,0
ENSMUSG00000116693,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116694,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116695,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116696,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116697,0,6,1,9,7,8,5,7,5,6
ENSMUSG00000116698,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116699,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116700,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116701,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116702,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000116703,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000116704,0,1.018579102,0,1.020585133,2.0378477,0,0,3.061582518,1.021183411,5.112161067
ENSMUSG00000116705,3,0,0,0,1,0,0,4,4,1
ENSMUSG00000116706,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116708,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116709,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116710,0,0,1.676038565,0,0,0,0,0,0,0
ENSMUSG00000116711,0,0,0,0,0,0,0,0,0,0
